Year,Origin,Destination,Route,AB_Departures,LH_Departures,LH_Delta,LH_Pct_Change
2015,DUS,EASTERN EUROPE,DUS->EASTERN EUROPE,787.0,5766.0,,
2016,DUS,EASTERN EUROPE,DUS->EASTERN EUROPE,239.0,5134.0,-632.0,-10.96
2017,DUS,EASTERN EUROPE,DUS->EASTERN EUROPE,448.0,4951.0,-183.0,-3.56
2018,DUS,EASTERN EUROPE,DUS->EASTERN EUROPE,555.0,4913.0,-38.0,-0.77
2019,DUS,EASTERN EUROPE,DUS->EASTERN EUROPE,392.0,6166.0,1253.0,25.5
2015,DUS,FRA,DUS->FRA,0.0,2164.0,,
2016,DUS,FRA,DUS->FRA,0.0,2130.0,-34.0,-1.57
2017,DUS,FRA,DUS->FRA,0.0,2277.0,147.0,6.9
2018,DUS,FRA,DUS->FRA,0.0,2599.0,322.0,14.14
2019,DUS,FRA,DUS->FRA,0.0,2230.0,-369.0,-14.2
2015,DUS,GULF & MIDDLE EAST,DUS->GULF & MIDDLE EAST,526.0,0.0,,
2016,DUS,GULF & MIDDLE EAST,DUS->GULF & MIDDLE EAST,366.0,0.0,0.0,
2017,DUS,GULF & MIDDLE EAST,DUS->GULF & MIDDLE EAST,83.0,0.0,0.0,
2018,DUS,GULF & MIDDLE EAST,DUS->GULF & MIDDLE EAST,0.0,0.0,0.0,
2019,DUS,GULF & MIDDLE EAST,DUS->GULF & MIDDLE EAST,0.0,103.0,103.0,
2015,DUS,HAM,DUS->HAM,1083.0,1904.0,,
2016,DUS,HAM,DUS->HAM,1372.0,1940.0,36.0,1.89
2017,DUS,HAM,DUS->HAM,1850.0,1386.0,-554.0,-28.56
2018,DUS,HAM,DUS->HAM,293.0,2301.0,915.0,66.02
2019,DUS,HAM,DUS->HAM,147.0,2584.0,283.0,12.3
2015,DUS,MUC,DUS->MUC,2571.0,3663.0,,
2016,DUS,MUC,DUS->MUC,2240.0,3803.0,140.0,3.82
2017,DUS,MUC,DUS->MUC,2448.0,4155.0,352.0,9.26
2018,DUS,MUC,DUS->MUC,369.0,6067.0,1912.0,46.02
2019,DUS,MUC,DUS->MUC,79.0,7284.0,1217.0,20.06
2015,DUS,NORTH AFRICA,DUS->NORTH AFRICA,330.0,71.0,,
2016,DUS,NORTH AFRICA,DUS->NORTH AFRICA,151.0,20.0,-51.0,-71.83
2017,DUS,NORTH AFRICA,DUS->NORTH AFRICA,51.0,227.0,207.0,1035.0
2018,DUS,NORTH AFRICA,DUS->NORTH AFRICA,19.0,293.0,66.0,29.07
2019,DUS,NORTH AFRICA,DUS->NORTH AFRICA,49.0,409.0,116.0,39.59
2015,DUS,STR,DUS->STR,1349.0,0.0,,
2016,DUS,STR,DUS->STR,1369.0,0.0,0.0,
2017,DUS,STR,DUS->STR,1311.0,0.0,0.0,
2018,DUS,STR,DUS->STR,1230.0,91.0,91.0,
2019,DUS,STR,DUS->STR,1175.0,107.0,16.0,17.58
2015,DUS,SXF,DUS->SXF,0.0,0.0,,
2016,DUS,SXF,DUS->SXF,0.0,0.0,0.0,
2018,DUS,SXF,DUS->SXF,0.0,0.0,0.0,
2019,DUS,SXF,DUS->SXF,0.0,0.0,0.0,
2015,DUS,TXL,DUS->TXL,2232.0,2462.0,,
2016,DUS,TXL,DUS->TXL,2241.0,2475.0,13.0,0.53
2017,DUS,TXL,DUS->TXL,2483.0,2288.0,-187.0,-7.56
2018,DUS,TXL,DUS->TXL,1383.0,2288.0,0.0,0.0
2019,DUS,TXL,DUS->TXL,103.0,3469.0,1181.0,51.62
2015,DUS,WESTERN EUROPE,DUS->WESTERN EUROPE,14821.0,21130.0,,
2016,DUS,WESTERN EUROPE,DUS->WESTERN EUROPE,16228.0,22340.0,1210.0,5.73
2017,DUS,WESTERN EUROPE,DUS->WESTERN EUROPE,17101.0,20031.0,-2309.0,-10.34
2018,DUS,WESTERN EUROPE,DUS->WESTERN EUROPE,10629.0,23200.0,3169.0,15.82
2019,DUS,WESTERN EUROPE,DUS->WESTERN EUROPE,11931.0,25310.0,2110.0,9.09
2015,FRA,DUS,FRA->DUS,0.0,2164.0,,
2016,FRA,DUS,FRA->DUS,0.0,2131.0,-33.0,-1.52
2017,FRA,DUS,FRA->DUS,0.0,2277.0,146.0,6.85
2018,FRA,DUS,FRA->DUS,0.0,2599.0,322.0,14.14
2019,FRA,DUS,FRA->DUS,0.0,2230.0,-369.0,-14.2
2015,FRA,EASTERN EUROPE,FRA->EASTERN EUROPE,0.0,22996.0,,
2016,FRA,EASTERN EUROPE,FRA->EASTERN EUROPE,0.0,22143.0,-853.0,-3.71
2017,FRA,EASTERN EUROPE,FRA->EASTERN EUROPE,0.0,22773.0,630.0,2.85
2018,FRA,EASTERN EUROPE,FRA->EASTERN EUROPE,0.0,25536.0,2763.0,12.13
2019,FRA,EASTERN EUROPE,FRA->EASTERN EUROPE,0.0,25881.0,345.0,1.35
